component	version
R	4.6.0
Bioconductor	3.23
bioviz-cli	0.2.0
ape	5.8.1
treeio	1.36.1
ggtree	4.2.0
tidytree	0.4.7
ggplot2	4.0.3
svglite	2.2.2
ragg	1.5.2
optparse	1.8.2
jsonlite	2.0.0
readr	2.2.0
data.table	1.18.4
ggrepel	0.9.8
patchwork	1.3.2
cowplot	1.2.0
scales	1.4.0
viridis	0.6.5
RColorBrewer	1.1.3
