id	group	label	path	source_bytes	embedded_bytes	status	unresolved_resources
multiqc_1	multiqc	MultiQC project report	04_reports/multiqc_report.html	2441020	2441020	ok	
raw_fastqc_2	raw_fastqc	P1_R1_fastqc.html	03_results/raw_fastqc/P1/P1_R1_fastqc.html	397683	397683	ok	
raw_fastqc_3	raw_fastqc	P1_R2_fastqc.html	03_results/raw_fastqc/P1/P1_R2_fastqc.html	397683	397683	ok	
raw_fastqc_4	raw_fastqc	S2_fastqc.html	03_results/raw_fastqc/S2/S2_fastqc.html	532489	532489	ok	
fastp_5	fastp	P1.fastp.html	03_results/fastp/P1.fastp.html	366616	366407	ok	
fastp_6	fastp	S2.fastp.html	03_results/fastp/S2.fastp.html	185893	185684	ok	
clean_fastqc_7	clean_fastqc	P1_R1.clean_fastqc.html	03_results/clean_fastqc/P1/P1_R1.clean_fastqc.html	397710	397710	ok	
clean_fastqc_8	clean_fastqc	P1_R2.clean_fastqc.html	03_results/clean_fastqc/P1/P1_R2.clean_fastqc.html	397710	397710	ok	
clean_fastqc_9	clean_fastqc	S2.clean_fastqc.html	03_results/clean_fastqc/S2/S2.clean_fastqc.html	532516	532516	ok	
